Group,Group_ScatterPlot,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source
All MAGs,HQ,43-1_24x43-1_late__43-1_24.043.LR_stool,98.89,4.64,0,2662808,MetaFlye2 (LR),Stool
All MAGs,HQ,C043-M07_stoolxC043-M07_stool.014_sub.SR_stool,98.89,3.06,0,230681,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_13x17-1_early__17-1_13.001.LR_stool,98.89,2.58,18.18,976506,MetaFlye2 (LR),Stool
All MAGs,HQ,29-1_20_LKVx29-1_20_LKV.001.SR_plate,98.89,1.17,0,3581263,MetaSPAdes (SR),Plate
All MAGs,HQ,29-1_N17x29-1_N17.001.SR_stool,98.89,0.38,0,1455248,MetaSPAdes (SR),Stool
All MAGs,HQ,08-2_95xbin.8.SR_stool,98.89,0.24,0,128385,MetaSPAdes (SR),Stool
All MAGs,LQ,29-2_95x29-2_95.007_sub.SR_stool,98.88,14.19,32.76,307009,MetaSPAdes (SR),Stool
All MAGs,LQ,C040-M00xC040_FIXED__C040-M00.011_sub.LR_stool,98.88,10.97,33.33,1304376,MetaFlye2 (LR),Stool
All MAGs,LQ,C017-M00xC017__C017-M00.002.LR_stool,98.88,10.45,27.08,613124,MetaFlye2 (LR),Stool
All MAGs,HQ,43-2_12_DP_LKVxbin.4.SR_plate,98.88,4.49,0,32538,MetaSPAdes (SR),Plate
All MAGs,MQ,29-1_47xbin.29.SR_stool,98.88,3.16,18.75,476418,MetaSPAdes (SR),Stool
All MAGs,MQ,29-1_53xbin.62.SR_stool,98.88,2.79,20,664524,MetaSPAdes (SR),Stool
All MAGs,MQ,14-1_95xbin.89.LR_stool,98.88,2.73,41.67,2501996,MetaFlye2 (LR),Stool
All MAGs,MQ,08-2_9x08-2_early__08-2_9.009.LR_stool,98.88,2.27,25,273792,MetaFlye2 (LR),Stool
All MAGs,HQ,C040-M00xC040-M00.037.SR_stool,98.88,2.25,0,39987,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_8x56_sub.SR_stool,98.88,1.12,0,27091,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_10x17-1_early__17-1_10.020.LR_stool,98.88,0.96,50,596071,MetaFlye2 (LR),Stool
All MAGs,MQ,17-1_13x48.LR_stool,98.88,0.87,40,2665033,MetaFlye2 (LR),Stool
All MAGs,HQ,40-2_35_BAPxbin.18.SR_plate,98.88,0.74,0,861039,MetaSPAdes (SR),Plate
All MAGs,HQ,C017-M23xC017__C017-M23.021.LR_stool,98.88,0.7,0,1057024,MetaFlye2 (LR),Stool
All MAGs,HQ,08-2_14xbin.7.SR_stool,98.88,0.67,0,49503,MetaSPAdes (SR),Stool
All MAGs,HQ,47-1_7_LKVx148.SR_plate,98.88,0.56,0,2873287,MetaSPAdes (SR),Plate
All MAGs,HQ,40-1_13x68.SR_stool,98.88,0.37,0,542695,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_35_WCx13.SR_plate,98.88,0.28,0,54792,MetaSPAdes (SR),Plate
All MAGs,HQ,47-2_7x47-2_early__47-2_7.021.LR_stool,98.88,0.19,0,2241765,MetaFlye2 (LR),Stool
All MAGs,HQ,14-1_6x14.LR_stool,98.88,0.12,0,2381212,MetaFlye2 (LR),Stool
All MAGs,HQ,14-2_14x20.LR_stool,98.88,0.12,0,1226708,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_97x9.LR_stool,98.88,0.06,0,2540649,MetaFlye2 (LR),Stool
All MAGs,HQ,08-2_9x13.SR_stool,98.88,0,0,948004,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_5_BAPxbin.5.SR_plate,98.88,0,0,199179,MetaSPAdes (SR),Plate
All MAGs,HQ,39-1_94x66.SR_stool,98.88,0,0,383597,MetaSPAdes (SR),Stool
All MAGs,HQ,C040-M00xbin.70.SR_stool,98.88,0,0,12443,MetaSPAdes (SR),Stool
All MAGs,LQ,47-2_17x9_sub.SR_stool,98.87,100,39.15,60286,MetaSPAdes (SR),Stool
All MAGs,LQ,43-1_81x35.SR_stool,98.87,53.91,27.57,43566,MetaSPAdes (SR),Stool
All MAGs,LQ,43-1_66x17.LR_stool,98.87,36.09,76.14,133196,MetaFlye2 (LR),Stool
All MAGs,LQ,43-1_21x31.LR_stool,98.87,33.98,82.42,133200,MetaFlye2 (LR),Stool
All MAGs,LQ,20-2_23x51.LR_stool,98.87,13.85,91.11,158766,MetaFlye2 (LR),Stool
All MAGs,MQ,C047-M00x6.LR_stool,98.87,6.77,100,198019,MetaFlye2 (LR),Stool
All MAGs,MQ,C047-M07_stoolxbin.91_sub.SR_stool,98.87,5.64,3.03,365364,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_76x77.SR_stool,98.87,4.53,0,432679,MetaSPAdes (SR),Stool
All MAGs,MQ,14-2_36x47.LR_stool,98.87,3.63,90.48,1175485,MetaFlye2 (LR),Stool
All MAGs,MQ,C020-M07_LKVxbin.6.SR_plate,98.87,3.62,62.5,1194547,MetaSPAdes (SR),Plate
All MAGs,MQ,C020-M24x153_sub.SR_stool,98.87,3.16,20,663609,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_14x81.SR_stool,98.87,2.26,40,358061,MetaSPAdes (SR),Stool
All MAGs,MQ,C040-M06xbin.9.SR_stool,98.87,1.51,12.5,414182,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_36x39-2_36.038.SR_stool,98.87,1.13,0,571246,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_41x18.SR_stool,98.87,1.13,0,384103,MetaSPAdes (SR),Stool
All MAGs,HQ,C040-M24xC040-M24.014.SR_stool,98.87,0.93,0,384449,MetaSPAdes (SR),Stool
All MAGs,MQ,19-1_12xbin.15_sub.SR_stool,98.87,0.92,100,608514,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_6x17-1_early__17-1_6.008.LR_stool,98.87,0.83,80,1319188,MetaFlye2 (LR),Stool
All MAGs,HQ,39-1_8x15.SR_stool,98.87,0.47,0,42384,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_24x17.SR_stool,98.87,0.19,0,514640,MetaSPAdes (SR),Stool
All MAGs,HQ,C017-M06_WCxC017-M06_WC.002.SR_plate,98.87,0.19,0,308453,MetaSPAdes (SR),Plate
All MAGs,HQ,19-1_95_DP_LKVx61.SR_plate,98.87,0.13,0,629686,MetaSPAdes (SR),Plate
All MAGs,MQ,40-1_6_stoolx53.SR_stool,98.87,0.04,100,43426,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_47xbin.104.SR_stool,98.87,0,0,435058,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_74x91.SR_stool,98.87,0,0,539406,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_93xbin.146.SR_stool,98.87,0,0,260963,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_7_stoolxbin.33.SR_stool,98.87,0,0,163025,MetaSPAdes (SR),Stool
All MAGs,HQ,C039-M24_stoolx12.SR_stool,98.87,0,0,457459,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_94xbin.27.SR_stool,98.87,0,0,1641930,MetaSPAdes (SR),Stool
All MAGs,HQ,C039-M06_stoolxC039-M06_stool.009_sub.SR_stool,98.86,2.26,0,671851,MetaSPAdes (SR),Stool
All MAGs,MQ,47-1_17xbin.30.SR_stool,98.86,1.7,72.73,168594,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_36x34.LR_stool,98.86,1.67,57.14,499220,MetaFlye2 (LR),Stool
All MAGs,MQ,C020-M00xbin.6.SR_stool,98.86,1.12,25,369885,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_39_WCx20-2_39_WC.001.SR_plate,98.86,1.06,0,775382,MetaSPAdes (SR),Plate
All MAGs,MQ,17-1_10x17-1_early__17-1_10.002.LR_stool,98.86,1.02,61.54,1319160,MetaFlye2 (LR),Stool
All MAGs,HQ,40-1_13x3_sub.LR_stool,98.86,0.37,0,1671370,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_97_DP_LKVx20-2_97_DP_LKV.004.SR_plate,98.85,9.81,27.78,511754,MetaSPAdes (SR),Plate
All MAGs,MQ,8-2_14_DP_LKVx8-2_14_DP_LKV.002.SR_plate,98.85,8.53,42.42,164945,MetaSPAdes (SR),Plate
All MAGs,MQ,19-2_36_stoolx94.SR_stool,98.85,5.75,4.35,405402,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_18_stoolx38.SR_stool,98.85,4.6,0,1020201,MetaSPAdes (SR),Stool
All MAGs,HQ,C020-M24_LKVxC020-M24_LKV.001.SR_plate,98.85,2.63,0,263734,MetaSPAdes (SR),Plate
All MAGs,HQ,39-2_13xbin.36.SR_stool,98.85,2.01,0,231746,MetaSPAdes (SR),Stool
All MAGs,HQ,C020-M36x18.LR_stool,98.85,1.28,0,1634686,MetaFlye2 (LR),Stool
All MAGs,MQ,8-1_11_DP_BAPcstx8-1_11_DP_BAPcst.003.SR_plate,98.85,0.67,80,335725,MetaSPAdes (SR),Plate
All MAGs,HQ,C019-M22xbin.10.LR_stool,98.85,0.65,0,750021,MetaFlye2 (LR),Stool
All MAGs,MQ,08-1_14xbin.10.SR_stool,98.85,0.46,100,228802,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_90xbin.63.LR_stool,98.85,0.46,100,2315325,MetaFlye2 (LR),Stool
All MAGs,HQ,43-2_12x43-2_early__43-2_12.007.LR_stool,98.85,0,0,2185118,MetaFlye2 (LR),Stool
All MAGs,LQ,29-1_95x29-1_95.021_sub.SR_stool,98.84,36.76,55.52,1068810,MetaSPAdes (SR),Stool
All MAGs,LQ,19-2_12xbin.6.LR_stool,98.84,11.39,0,1593414,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_90xbin.47.SR_stool,98.84,1.87,60,228171,MetaSPAdes (SR),Stool
All MAGs,MQ,20-2_5xbin.11.SR_stool,98.84,1.09,50,30822,MetaSPAdes (SR),Stool
All MAGs,LQ,C020-M00_BAPx31.SR_plate,98.83,43.32,8.13,32766,MetaSPAdes (SR),Plate
All MAGs,LQ,47-1_10x47-1_early__47-1_10.025.LR_stool,98.83,14.62,30.23,283524,MetaFlye2 (LR),Stool
All MAGs,LQ,14-2_14_stoolxbin.20.SR_stool,98.83,10.33,0,242612,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_99x43.LR_stool,98.83,9.65,3.57,329125,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_5x9_sub.SR_stool,98.83,9.13,0,875599,MetaSPAdes (SR),Stool
All MAGs,MQ,19-1_12xbin.20.LR_stool,98.83,7.41,4.17,3468692,MetaFlye2 (LR),Stool
All MAGs,MQ,C039-M06_BAPxC039-M06_BAP.011.SR_plate,98.83,6.34,26.32,837972,MetaSPAdes (SR),Plate
All MAGs,MQ,43-1_N11xbin.4.SR_stool,98.83,5.07,0,598404,MetaSPAdes (SR),Stool
All MAGs,HQ,20-1_8x2.SR_stool,98.83,4.97,0,836672,MetaSPAdes (SR),Stool
All MAGs,HQ,40-2_10x24_sub.LR_stool,98.83,4.48,0,2612201,MetaFlye2 (LR),Stool
All MAGs,HQ,40-2_6x27_sub.LR_stool,98.83,4.39,0,2612172,MetaFlye2 (LR),Stool
All MAGs,MQ,19-2_95x80.LR_stool,98.83,3.64,72.22,325650,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_N9x20-2_N9.005.SR_stool,98.83,3.41,0,1036880,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_13x26.SR_stool,98.83,2.92,0,128538,MetaSPAdes (SR),Stool
All MAGs,MQ,C029-M00_stoolxC029-M00_stool.067.SR_stool,98.83,2.85,40,48619,MetaSPAdes (SR),Stool
All MAGs,HQ,17-2_13x17-2_early__17-2_13.008.LR_stool,98.83,2.73,0,1471053,MetaFlye2 (LR),Stool
All MAGs,MQ,C047-M00_stoolxC047-M00_stool.008.SR_stool,98.83,2.73,12.5,522295,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_11x20-2_11.014_sub.SR_stool,98.83,2.63,0,551117,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_6x13_sub.LR_stool,98.83,2.44,0,427995,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_24x95_sub.SR_stool,98.83,2.22,44.44,316797,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_10x50_sub.LR_stool,98.83,2.14,0,421845,MetaFlye2 (LR),Stool
All MAGs,HQ,19-1_35_stoolxbin.1.SR_stool,98.83,2.14,0,326503,MetaSPAdes (SR),Stool
All MAGs,HQ,40-2_16x40-2_late__40-2_16.015.LR_stool,98.83,2.14,0,2954728,MetaFlye2 (LR),Stool
All MAGs,MQ,29-1_20x10.SR_stool,98.83,1.87,44.44,107082,MetaSPAdes (SR),Stool
All MAGs,HQ,19-1_10x66.SR_stool,98.83,1.56,0,1138789,MetaSPAdes (SR),Stool
All MAGs,HQ,19-1_35x28.LR_stool,98.83,1.56,0,3428578,MetaFlye2 (LR),Stool
All MAGs,HQ,19-1_N16x32.SR_stool,98.83,1.56,0,344750,MetaSPAdes (SR),Stool
All MAGs,HQ,19-2_12x3.SR_stool,98.83,1.56,0,1064120,MetaSPAdes (SR),Stool
All MAGs,HQ,19-2_36_stoolx88.SR_stool,98.83,1.56,0,715356,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_35x66.LR_stool,98.83,1.56,0,2261317,MetaFlye2 (LR),Stool
All MAGs,HQ,40-1_6_stoolx58.SR_stool,98.83,1.56,0,1745646,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_6x21.LR_stool,98.83,1.56,0,710343,MetaFlye2 (LR),Stool
All MAGs,HQ,19-1_10x27.LR_stool,98.83,1.56,0,3468699,MetaFlye2 (LR),Stool
All MAGs,HQ,19-2_10x56.SR_stool,98.83,1.56,0,1817687,MetaSPAdes (SR),Stool
All MAGs,HQ,40-1_15x7.LR_stool,98.83,1.56,0,2261208,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_10x7.LR_stool,98.83,1.46,0,3437359,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_10xbin.19.SR_stool,98.83,1.46,0,1034589,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_13x15.LR_stool,98.83,1.46,0,3437297,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_5x12.LR_stool,98.83,1.46,0,3437173,MetaFlye2 (LR),Stool
All MAGs,HQ,39-2_36x41.LR_stool,98.83,1.46,0,1038201,MetaFlye2 (LR),Stool
All MAGs,HQ,40-2_35_stoolx69.SR_stool,98.83,1.46,0,530494,MetaSPAdes (SR),Stool
All MAGs,HQ,20-1_11x56.SR_stool,98.83,1.46,0,836553,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_9x0.LR_stool,98.83,1.46,0,3437388,MetaFlye2 (LR),Stool
All MAGs,HQ,40-2_35x37.LR_stool,98.83,1.46,0,2954729,MetaFlye2 (LR),Stool
All MAGs,HQ,C047-M00_stoolxbin.28.SR_stool,98.83,1.46,0,452597,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_6_stoolx17-1_6_stool.013.SR_stool,98.83,1.17,0,314158,MetaSPAdes (SR),Stool
All MAGs,HQ,17-2_6_stoolx0.SR_stool,98.83,1.17,0,274032,MetaSPAdes (SR),Stool
All MAGs,HQ,17-2_6x17-2_early__17-2_6.006_sub.LR_stool,98.83,1.07,0,1442087,MetaFlye2 (LR),Stool
All MAGs,HQ,14-1_36_stoolxbin.46.SR_stool,98.83,0.97,0,418885,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_13_stoolx0_sub.SR_stool,98.83,0.97,0,938583,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_16_stoolx17-1_16_stool.013_sub.SR_stool,98.83,0.97,0,442029,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_36_stoolx108.SR_stool,98.83,0.97,0,453294,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_N10_stoolxbin.40.SR_stool,98.83,0.97,0,496592,MetaSPAdes (SR),Stool
All MAGs,HQ,17-2_13_stoolx83_sub.SR_stool,98.83,0.97,0,526418,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_11x12.LR_stool,98.83,0.97,0,2057570,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_12x31.LR_stool,98.83,0.97,0,2057557,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_2x43-1_early__43-1_2.004.LR_stool,98.83,0.97,0,2039153,MetaFlye2 (LR),Stool
All MAGs,HQ,14-1_36x17.LR_stool,98.83,0.97,0,3342289,MetaFlye2 (LR),Stool
All MAGs,HQ,17-1_36x53.LR_stool,98.83,0.97,0,1009723,MetaFlye2 (LR),Stool
All MAGs,HQ,17-2_11x2_sub.LR_stool,98.83,0.97,0,1471047,MetaFlye2 (LR),Stool
All MAGs,HQ,08-2_11x47.LR_stool,98.83,0.88,0,3006625,MetaFlye2 (LR),Stool
All MAGs,HQ,08-2_N6x9.LR_stool,98.83,0.88,0,3006634,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_2x6.SR_stool,98.83,0.88,0,588770,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_53x29-1_53.026.SR_stool,98.83,0.73,0,444005,MetaSPAdes (SR),Stool
All MAGs,HQ,C043-M01_stoolx70.SR_stool,98.83,0.7,0,277784,MetaSPAdes (SR),Stool
All MAGs,HQ,C043-M07_stoolxbin.23.SR_stool,98.83,0.7,0,526556,MetaSPAdes (SR),Stool
All MAGs,MQ,20-2_10x17_sub.SR_stool,98.83,0.58,100,84069,MetaSPAdes (SR),Stool
All MAGs,HQ,C008-M06_BAPxbin.4.SR_plate,98.83,0.49,0,185786,MetaSPAdes (SR),Plate
All MAGs,HQ,C017-M00xbin.45.SR_stool,98.83,0.29,0,259508,MetaSPAdes (SR),Stool
All MAGs,HQ,19-1_35x48.LR_stool,98.83,0.19,0,2926308,MetaFlye2 (LR),Stool
All MAGs,HQ,20-2_97x124.SR_stool,98.83,0,0,240161,MetaSPAdes (SR),Stool
All MAGs,HQ,C017-M23xbin.17.LR_stool,98.83,0,0,767613,MetaFlye2 (LR),Stool
All MAGs,HQ,C039-M06_stoolxbin.72.SR_stool,98.83,0,0,365673,MetaSPAdes (SR),Stool
All MAGs,HQ,17-1_100_stoolxbin.55.SR_stool,98.83,0,0,183848,MetaSPAdes (SR),Stool
All MAGs,HQ,17-2_36_stoolx108.SR_stool,98.83,0,0,110059,MetaSPAdes (SR),Stool
All MAGs,HQ,19-1_N16_DP_LKVx44.SR_plate,98.83,0,0,237398,MetaSPAdes (SR),Plate
All MAGs,HQ,20-1_11xbin.27.SR_stool,98.83,0,0,510591,MetaSPAdes (SR),Stool
All MAGs,HQ,47-1_N13x59.SR_stool,98.83,0,0,539994,MetaSPAdes (SR),Stool
All MAGs,HQ,C039-M00x50.SR_stool,98.83,0,0,366651,MetaSPAdes (SR),Stool
All MAGs,MQ,C029-M06xC029-M06.008_sub.SR_stool,98.82,4.55,6.25,388894,MetaSPAdes (SR),Stool
All MAGs,MQ,20-2_97x48.LR_stool,98.82,4.36,47.62,651503,MetaFlye2 (LR),Stool
All MAGs,HQ,40-1_35_stoolxbin.93.SR_stool,98.82,1.01,0,102159,MetaSPAdes (SR),Stool
All MAGs,HQ,C047-M07_stoolxbin.31.SR_stool,98.82,0.95,0,163443,MetaSPAdes (SR),Stool
All MAGs,MQ,40-2_16x40-2_16.024_sub.SR_stool,98.82,0.94,50,363820,MetaSPAdes (SR),Stool
All MAGs,HQ,14-2_9_stoolx32.SR_stool,98.82,0.12,0,867694,MetaSPAdes (SR),Stool
All MAGs,HQ,14-2_11x11.LR_stool,98.81,3.82,0,772078,MetaFlye2 (LR),Stool
All MAGs,MQ,17-1_36_LKVx17-1_36_LKV.002_sub.SR_plate,98.81,0.89,33.33,455946,MetaSPAdes (SR),Plate
All MAGs,HQ,19-1_16x10.LR_stool,98.81,0.37,0,2917835,MetaFlye2 (LR),Stool
All MAGs,HQ,14-2_14_LKVx79.SR_plate,98.81,0.12,0,1108326,MetaSPAdes (SR),Plate
All MAGs,LQ,C014-M06x62.LR_stool,98.8,20.35,58.82,118801,MetaFlye2 (LR),Stool
All MAGs,MQ,C019-M07_stoolxC019-M07_stool.014.SR_stool,98.8,8.33,57.89,299201,MetaSPAdes (SR),Stool
All MAGs,MQ,C043-M01xC043_FIXED__C043-M01.005.LR_stool,98.8,6.25,0,2085882,MetaFlye2 (LR),Stool
All MAGs,MQ,C043-M07xC043_FIXED__C043-M07.004_sub.LR_stool,98.8,6.25,0,2085897,MetaFlye2 (LR),Stool
All MAGs,HQ,08-1_97x8-1_late__08-1_97.012.LR_stool,98.8,4.49,0,1026655,MetaFlye2 (LR),Stool
All MAGs,MQ,17-2_13_BAPx20.SR_plate,98.8,4.24,6.67,57974,MetaSPAdes (SR),Plate
All MAGs,MQ,C047-M07_stoolx93.SR_stool,98.8,1.86,75,46276,MetaSPAdes (SR),Stool
All MAGs,HQ,C014-M00x91.LR_stool,98.8,1.5,0,2461100,MetaFlye2 (LR),Stool
All MAGs,HQ,C008-M36xC008-M36.014.SR_stool,98.8,1.44,0,308516,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_6_stoolxbin.9.SR_stool,98.8,1.42,0,39218,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_16x1.LR_plate,98.8,1.05,90,278112,MetaFlye2 (LR),Plate
All MAGs,HQ,29-1_15x28.SR_stool,98.8,0.96,0,404265,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_18_stoolx29-1_18_stool.009_sub.SR_stool,98.8,0.96,0,820373,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_20x29-1_20.001.SR_stool,98.8,0.96,0,1754547,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_N15x16.SR_stool,98.8,0.96,0,404264,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_N17x23.SR_stool,98.8,0.96,0,868520,MetaSPAdes (SR),Stool
All MAGs,HQ,14-2_36_stoolx14-2_36_stool.022.SR_stool,98.8,0.96,0,514657,MetaSPAdes (SR),Stool
All MAGs,MQ,14-2_14_stoolxbin.13.SR_stool,98.8,0.9,100,162453,MetaSPAdes (SR),Stool
All MAGs,HQ,39-1_94_DP_BAPcstx3.SR_plate,98.8,0.6,0,115529,MetaSPAdes (SR),Plate
All MAGs,HQ,29-1_33_BAPx0.SR_plate,98.8,0.48,0,175878,MetaSPAdes (SR),Plate
All MAGs,HQ,C008-M36xC008__C008-M36.014.LR_stool,98.8,0.48,0,797346,MetaFlye2 (LR),Stool
All MAGs,HQ,C019-M00x69.SR_stool,98.8,0.48,0,752928,MetaSPAdes (SR),Stool
All MAGs,HQ,C043-M01_stoolxC043-M01_stool.006_sub.SR_stool,98.8,0.48,0,598107,MetaSPAdes (SR),Stool
All MAGs,HQ,08-1_97x74.SR_stool,98.8,0.48,0,272302,MetaSPAdes (SR),Stool
All MAGs,HQ,29-2_36xbin.35.LR_stool,98.8,0.48,0,960047,MetaFlye2 (LR),Stool
All MAGs,HQ,C008-M00x22.LR_stool,98.8,0.48,0,797323,MetaFlye2 (LR),Stool
All MAGs,HQ,C019-M22_stoolx115.SR_stool,98.8,0.48,0,910272,MetaSPAdes (SR),Stool
All MAGs,HQ,C043-M07_stoolxC043-M07_stool.004.SR_stool,98.8,0.48,0,613056,MetaSPAdes (SR),Stool
All MAGs,HQ,20-2_76x41.LR_stool,98.8,0.24,0,345482,MetaFlye2 (LR),Stool
All MAGs,HQ,14-1_36_LKVx22.SR_plate,98.8,0.12,0,2492610,MetaSPAdes (SR),Plate
All MAGs,HQ,43-2_94x17.LR_stool,98.8,0,0,2469588,MetaFlye2 (LR),Stool
All MAGs,LQ,29-1_14_CMBcst_WCx29-1_14_CMBcst_WC.004.SR_plate,98.79,14.4,39.39,357080,MetaSPAdes (SR),Plate
All MAGs,LQ,40-2_13x41.LR_stool,98.79,10.44,0,820875,MetaFlye2 (LR),Stool
All MAGs,MQ,47-1_88x47-1_late__47-1_88.007.LR_stool,98.79,8.06,90,491871,MetaFlye2 (LR),Stool
All MAGs,MQ,47-2_17_CMBcst_WCx47-2_17_CMBcst_WC.001.SR_plate,98.79,3.41,80,428475,MetaSPAdes (SR),Plate
All MAGs,MQ,08-1_14x9_sub.LR_stool,98.79,3.23,50,1206213,MetaFlye2 (LR),Stool
All MAGs,MQ,C014-M06x78.LR_stool,98.79,2.63,80,451286,MetaFlye2 (LR),Stool
All MAGs,HQ,29-1_33x29-1_late__29-1_33.001.LR_stool,98.79,2.42,0,2080731,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_24xbin.37.SR_stool,98.79,1.59,20,1308023,MetaSPAdes (SR),Stool
All MAGs,HQ,43-2_94xbin.35.SR_stool,98.79,1.28,0,346746,MetaSPAdes (SR),Stool
All MAGs,MQ,C019-M38xbin.36.SR_stool,98.79,1.21,75,141827,MetaSPAdes (SR),Stool
All MAGs,MQ,20-2_13_LKVx20-2_13_LKV.001.SR_plate,98.79,0.88,66.67,634896,MetaSPAdes (SR),Plate
All MAGs,HQ,29-1_53x29-1_late__29-1_53.010.LR_stool,98.79,0.81,0,2080873,MetaFlye2 (LR),Stool
All MAGs,HQ,20-1_35_BAPx42.SR_plate,98.79,0.31,0,601304,MetaSPAdes (SR),Plate
All MAGs,HQ,17-1_16_stoolx17-1_16_stool.005.SR_stool,98.79,0,0,917073,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_88xbin.34_sub.SR_stool,98.79,0,0,167940,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_16_stoolx40.SR_stool,98.78,7.19,30.77,213281,MetaSPAdes (SR),Stool
All MAGs,MQ,08-2_9x80.SR_stool,98.78,5.31,21.05,258264,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_36x65.LR_stool,98.78,2.54,75,677907,MetaFlye2 (LR),Stool
All MAGs,HQ,C043-M01_BAPxC043-M01_BAP.005.SR_plate,98.78,1.9,0,41452,MetaSPAdes (SR),Plate
All MAGs,MQ,17-2_99x54.LR_stool,98.78,1.24,25,677910,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_88x13.LR_stool,98.78,0.19,100,907530,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_12x43-1_12_LKV_43-1_12_LKV.002.LR_plate,98.78,0,0,1293360,MetaFlye2 (LR),Plate
All MAGs,MQ,39-2_47x39-2_late__39-2_47.009_sub.LR_stool,98.77,7.01,81.08,258521,MetaFlye2 (LR),Stool
All MAGs,MQ,17-1_13x29.LR_stool,98.77,6.31,97.14,2089480,MetaFlye2 (LR),Stool
All MAGs,MQ,47-2_10x47-2_early__47-2_10.015.LR_stool,98.77,3.96,41.18,4847761,MetaFlye2 (LR),Stool
All MAGs,HQ,C008-M06x66.SR_stool,98.77,3.82,0,300547,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_16x68_sub.LR_stool,98.77,2.54,75,677917,MetaFlye2 (LR),Stool
All MAGs,HQ,40-1_93xbin.105.LR_stool,98.77,0.67,0,763311,MetaFlye2 (LR),Stool
All MAGs,HQ,19-2_36_stoolx19-2_36_stool.005.SR_stool,98.77,0,0,739106,MetaSPAdes (SR),Stool
All MAGs,HQ,40-2_10_DPx40-2_10_DP_LKV_40-2_10_LKV.003_sub.LR_plate,98.77,0,0,1541269,MetaFlye2 (LR),Plate
All MAGs,HQ,29-2_95xbin.48.LR_stool,98.77,0,0,851360,MetaFlye2 (LR),Stool
All MAGs,LQ,43-1_16_WCx30_sub.SR_plate,98.76,97.16,32.08,72436,MetaSPAdes (SR),Plate
